year,state,main_species_group,species_name,live_weight,landed_weight
2001,TAMAULIPAS,CAZON,CAZON DESV. FCO.,60515.39999999998,55014
2001,TAMAULIPAS,CAZON,CAZON ENT. FCO.,723662,723662
2001,TAMAULIPAS,TIBURON,ANGELITO DESV. FCO. (SQUATINA SQUATINA),1078,980
2001,TAMAULIPAS,TIBURON,ANGELITO ENT. FCO. (SQUATINA SQUATINA),4286,4286
2001,TAMAULIPAS,TIBURON,CORNUDA ENT. FCA. (SPHYRNA ZYGAENA),2434,2434
2001,TAMAULIPAS,TIBURON,TIBURON DESV. FCO.,31456.700000000008,28597
2001,TAMAULIPAS,TIBURON,TIBURON ENT. FCO.,740087,740087
2001,TAMAULIPAS,TIBURON,TINTORERA ENT. FCA.,116,116
2001,TAMAULIPAS,TIBURON,TRIPA DESV. FCA.,1773.2,1612
2001,TAMAULIPAS,TIBURON,TRIPA ENT. FCA.,31300,31300
2001,VERACRUZ,CAZON,CAZON DE LEY DESV. FCO.,1485,1350
2001,VERACRUZ,CAZON,CAZON DE LEY ENT. FCO.,13848,13848
2001,VERACRUZ,CAZON,CAZON DESV. FCO.,5810.200000000001,5282
2001,VERACRUZ,CAZON,CAZON ENT. FCO.,366048,366048
2001,VERACRUZ,TIBURON,ALETA DE TIBURON,0,100
2001,VERACRUZ,TIBURON,ANGELITO ENT. FCO. (SQUATINA SQUATINA),84016,84016
2001,VERACRUZ,TIBURON,CORNUDA DESV. FCA. (SPHYRNA ZYGAENA),477.4,434
2001,VERACRUZ,TIBURON,CORNUDA ENT. FCA. (SPHYRNA ZYGAENA),26217,26217
2001,VERACRUZ,TIBURON,GATA ENT. FCA.,17245,17245
2001,VERACRUZ,TIBURON,PEZ MARTILLO ENT. FCO. (SPHYRNA LEWINI),16,16
2001,VERACRUZ,TIBURON,TIBURON DESV. FCO.,440,400
2001,VERACRUZ,TIBURON,TIBURON DESV. Y DESC. FCO.,45892.5,30595
2001,VERACRUZ,TIBURON,TIBURON ENT. FCO.,450913,450913
2001,VERACRUZ,TIBURON,TIBURON ZORRO ENT. FCO. (ALOPIAS VULPINUS),171039,171039
2001,VERACRUZ,TIBURON,TINTORERA DESC. FCA.,148.5,135
2001,VERACRUZ,TIBURON,TINTORERA ENT. FCA.,20,20
2001,VERACRUZ,TIBURON,TRIPA ENT. FCA.,211639,211639
2001,YUCATAN,CAZON,CAZON DESV. FCO.,273506.2,248642
2001,YUCATAN,CAZON,CAZON ENT. FCO.,1745,1745
2001,YUCATAN,TIBURON,CORNUDA DESV. FCA. (SPHYRNA ZYGAENA),11,10
2001,YUCATAN,TIBURON,CORNUDA ENT. FCA. (SPHYRNA ZYGAENA),854,854
2001,YUCATAN,TIBURON,GATA DESV. FCA.,2346.3,2133
2001,YUCATAN,TIBURON,GATA DESV. Y DESC. FCA.,19770,13180
2001,YUCATAN,TIBURON,GATA ENT. FCA.,379,379
2001,YUCATAN,TIBURON,JAQUETON ENT. FCO.,38,38
2001,YUCATAN,TIBURON,TIBURON DESV. FCO.,314070.90000000014,285519
2001,YUCATAN,TIBURON,TIBURON DESV. Y DESC. FCO.,303,202
2001,YUCATAN,TIBURON,TIBURON ENT. FCO.,209038,209038
2001,YUCATAN,TIBURON,TINTORERA ENT. FCA.,8755,8755
2001,YUCATAN,TIBURON,TRIPA DESV. FCA.,5.5,5
2002,CAMPECHE,CAZON,CAZON DESV. FCO.,243548.80000000025,221408
2002,CAMPECHE,CAZON,CAZON ENT. FCO.,152487,152487
2002,CAMPECHE,CAZON,CAZON FILETE DE FCO.,42,21
2002,CAMPECHE,TIBURON,CAÑA HUECA ENT. FCA.,4,4
